file_name,column_name,logical_field,meaning,allowed_values_or_pattern,example_values,notes
responsibility_shielding_tests.csv,mean_a,group A mean,Mean of the left-side group or condition on the analysis scale.,numeric,"6.817204301075269, 6.457446808510638, 6.795698924731183, 6.25531914893617, 1.7455976173140777","If transformation='log1p', this mean is on the transformed scale."
responsibility_shielding_tests.csv,mean_b,group B mean,Mean of the right-side group or condition on the analysis scale.,numeric,"5.789473684210527, 6.457446808510638, 6.368421052631579, 6.25531914893617, 1.3612391346195445","If transformation='log1p', this mean is on the transformed scale."
responsibility_shielding_tests.csv,median_a,group A median,Median of the left-side group or condition on the analysis scale.,numeric,"7.0, 1.791759469228055, 1.3862943611198906, 6.0, 8.0",Especially relevant for nonparametric rows.
responsibility_shielding_tests.csv,median_b,group B median,Median of the right-side group or condition on the analysis scale.,numeric,"6.0, 7.0, 1.3862943611198906, 5.5, 6.5",Especially relevant for nonparametric rows.
responsibility_shielding_tests.csv,mean_difference_a_minus_b,mean contrast estimate,Left-side mean minus right-side mean on the analysis scale.,numeric contrast estimate,"1.027730616864743, 0.667973124300112, 0.3597574925646309, 0.6679731243001115, 0.4272778720996042",Primary estimate for parametric rows.
responsibility_shielding_tests.csv,median_difference_a_minus_b,median contrast estimate,Left-side median minus right-side median on the analysis scale.,numeric contrast estimate,"1.0, 0.0, 0.4054651081081644, 2.0, 0.2006706954621511",Primary estimate for nonparametric rows.
responsibility_shielding_tests.csv,ci95_lower,lower confidence bound,Lower 95% confidence interval bound for the reported location statistic.,numeric,"0.5423951687208319, 0.1839439515995763, -0.1033649077253738, 0.1561690654489469, -0.1209127381522726",Interpret together with ci95_upper and location_statistic_reported.
responsibility_shielding_tests.csv,ci95_upper,upper confidence bound,Upper 95% confidence interval bound for the reported location statistic.,numeric,"1.5130660650086547, 1.1520022970006476, 0.8228798928546357, 1.179777183151276, 0.9754684823514812",Interpret together with ci95_lower and location_statistic_reported.
responsibility_shielding_tests.csv,t_statistic,test statistic,Test statistic reported for the row.,numeric,"4.1684384280693845, 2.7165866393931792, 1.5327345511793746, 2.5747372181433392, 1.5376655950401483",For some nonparametric rows this is not literally a t statistic; it is the main test statistic field retained for consistency.
responsibility_shielding_tests.csv,df,degrees of freedom,Degrees of freedom for parametric rows; often missing for nonparametric rows.,numeric or missing,"279.0, 181.54436833890472, 186.3562738325733, 185.9997936417704, 186.3951046210881",Missing values are expected for some nonparametric tests.
responsibility_shielding_tests.csv,p_value_two_tailed,two-tailed p-value,Two-sided p-value for the row.,numeric p-value,"4.0963010406136734e-05, 0.0070080099636017, 0.1270820461947133, 0.0108076087077317, 0.12582980255835",Use this when the manuscript or table is set to two-tailed reporting.
responsibility_shielding_tests.csv,p_value_one_tailed,one-tailed p-value,One-tailed p-value assuming the positive direction of the named contrast.,numeric p-value,"2.0481505203068367e-05, 0.0035040049818008, 0.0635410230973566, 0.0054038043538658, 0.062914901279175",The positive direction is defined by contrast_type / contrast_or_condition.
responsibility_shielding_tests.csv,effect_size_name,effect size label,Name of the reported effect size.,cohens_d | hedges_g | cohens_dz,"cohens_d, hedges_g, cohens_dz","Examples include Hedges g, Cohen’s dz, and rank-biserial correlations."
responsibility_shielding_tests.csv,effect_size,effect size value,Numeric effect-size estimate.,numeric,"0.61366713162927, 0.3744361655960434, 0.2230841633810668, 0.3729324058948545, 0.2233500181408077",Interpret together with effect_size_name.
responsibility_shielding_tests.csv,p_value_holm,Holm-corrected p-value,Holm-adjusted p-value for the confirmatory between-subject blame contrasts when applicable.,numeric or missing,"8.192602081227347e-05, 0.0070080099636017",Usually populated only for the preregistered confirmatory family.
responsibility_shielding_tests.csv,notes,plain-language row explanation,Human-readable explanation of what the row means.,free text,"Confirmatory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values., Confirmatory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: DIV - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. Model formula: first_vignette_distal_blame ~ C(vignette_condition_position_1, Treatment(reference='CC')). Covariance type: classical. Holm correction in p_value_holm is always based on the preregistered two-tailed confirmatory p-values., Exploratory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: CH - DIV. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type., Exploratory between subjects first vignette comparison on blameworthiness for the distal agent Clark. Contrast type: MIN(CH, DIV) - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type. For this subset, MIN(CH, DIV) is realized by DIV because the mean of DIV is lower than the mean of CH., Exploratory between subjects first vignette comparison on wrongness for the distal agent Clark. Contrast type: CH - CC. Participants: included only. Story family: pooled. Load condition: pooled. Analysis mode: raw_parametric. Transformation: raw untransformed values. The location statistic represented by the contrast columns is the mean difference. p_value_one_tailed assumes that the predicted direction is positive for the contrast named in contrast_type.",This is the main plain-English interpretation column in tests.csv.
responsibility_shielding_group_summaries.csv,inclusion_filter,inclusion filter,Which participant set the summary row was computed on.,included_only | all_finishers,"included_only, all_finishers",Matches the preregistered inclusion split used throughout the analysis.
responsibility_shielding_group_summaries.csv,story_condition,story family,Whether the summary row pools stories or refers to one story family.,pooled | firework | trolley | all,"pooled, firework, trolley",Used in story-specific and pooled contrasts.
responsibility_shielding_group_summaries.csv,load_condition,load condition slice,Whether the summary row pools load conditions or refers to one load condition.,pooled | high | low | all,"pooled, high, low",Used for descriptive breakdowns by cognitive load.
responsibility_shielding_group_summaries.csv,analysis_scope,summary design scope,What kind of descriptive aggregation the row represents.,between_subjects_first_vignette | within_subjects_all_vignettes | within_subjects_deltas,"within_subjects_all_vignettes, between_subjects_first_vignette, within_subjects_deltas","Used across tests.csv, group_summaries.csv, and integrated_blame_models.csv with consistent fine-grained value names."
responsibility_shielding_group_summaries.csv,agent_role,judged agent role,Whether the row summarizes the distal agent or the proximate node.,distal | proximate | clark,"distal, proximate",Some transitional files may still use clark instead of distal.
responsibility_shielding_group_summaries.csv,dv,dependent variable,Which dependent variable the summary row refers to.,blame | wrong | punish | wrongness | punishment,"blame, wrong, punish",Transitional files may still use longer DV names.
responsibility_shielding_group_summaries.csv,condition,condition or delta label,Raw vignette condition for level summaries or contrast label for delta summaries.,"CC | CH | DIV | CH - CC | DIV - CC | MIN(CH, DIV) - CC | CC - CH","CC, CH, DIV, CH - CC, DIV - CC",Interpret together with analysis_scope.
responsibility_shielding_group_summaries.csv,n,sample size,Number of usable observations contributing to the descriptive row.,numeric count,"282, 95, 93, 94, 131",Counts can differ across rows because of missingness.
responsibility_shielding_group_summaries.csv,mean,mean,Mean of the summarized values.,numeric,"6.060283687943262, 7.0638297872340425, 6.663120567375887, 6.23404255319149, 7.042553191489362","For punishment under log1p_parametric, this should be on the transformed scale."
responsibility_shielding_group_summaries.csv,median,median,Median of the summarized values.,numeric,"6.0, 7.0, 1.3862943611198906, 1.791759469228055, 8.0","For punishment under log1p_parametric, this should be on the transformed scale."
responsibility_shielding_group_summaries.csv,std,standard deviation,Standard deviation of the summarized values.,numeric,"1.7736457189406796, 1.656273594559435, 1.6735289433415284, 1.9555134133844632, 1.8972628361412105","For punishment under log1p_parametric, this should be on the transformed scale."
